ID,X,Y,bio17,bio16,bio10,bio6,bio2,sampleType,dataType
1,2184339.406,5484864.474,36,340,196,-249,104,testing,presence
2,1497276.712,4664803.852,20,419,237,-172,113,training,presence
3,1383536.629,4606292.915,13,368,238,-153,110,training,presence
4,1204727.074,4487312.434,10,441,211,-168,123,training,presence
5,1600701.906,4481505.665,35,633,222,-142,99,training,presence
6,1241248.272,4464383.822,10,435,226,-146,119,training,presence
7,1521603.521,4416057.068,35,463,226,-118,85,training,presence
8,1333382.155,4144227.168,24,354,236,-66,89,training,presence
9,1470734.854,4140117.504,50,382,234,-42,70,training,presence
10,-71323.95018,3924485.575,5,161,186,-147,126,testing,presence
11,227429.7691,3828319.723,15,301,202,-96,98,testing,presence
12,1046998.544,3822420.645,32,421,267,-53,112,training,presence
13,1065752.375,3812928.394,35,429,269,-51,111,training,presence
14,1069467.354,3735557.552,46,451,268,-43,102,testing,presence
15,1167164.276,3710483.205,57,442,267,-38,95,training,presence
16,1010762.72,3672351.075,56,435,270,-39,104,training,presence
17,1320971.845,3663589.155,85,471,260,-28,86,testing,presence
18,1099038.209,3644995.579,57,378,276,-28,96,training,presence
19,1031745.502,3634546.717,61,444,272,-32,100,training,presence
20,1224970.034,3634125.022,77,455,267,-28,90,training,presence
21,1219395.18,3608162.438,79,443,269,-26,89,training,presence
22,1115313.548,3606715.788,68,431,275,-28,94,training,presence
23,1071021.778,3604015.417,64,432,274,-28,96,training,presence
24,1112026.171,3565349.181,72,427,274,-28,93,training,presence
25,1103831.12,3543489.78,76,403,275,-26,92,training,presence
26,317203.9718,3524783.903,26,459,228,-37,89,training,presence
27,28349.90248,3521299.492,16,384,196,-48,95,training,presence
28,420177.3201,3512352.491,33,376,241,-35,96,training,presence
29,1463672.27,3499818.91,120,477,259,-1,70,training,presence
30,706122.5934,3481757.59,54,401,271,-23,99,training,presence
31,803944.7853,3481419.28,76,452,266,-24,93,training,presence
32,660596.647,3479333.737,60,391,269,-25,100,training,presence
33,1338656.544,3478858.162,125,466,270,-9,81,training,presence
34,363465.9339,3474045.606,24,403,261,-8,95,training,presence
35,610597.3187,3470445.839,74,422,271,-24,101,training,presence
36,1443153.324,3458680.553,114,450,261,2,75,training,presence
37,1375305.635,3443241.892,135,467,268,-3,80,testing,presence
38,364700.7597,3439712.267,27,420,263,0,93,testing,presence
39,847880.5567,3426614.415,101,521,258,-25,86,training,presence
40,1517657.184,3411807.823,129,407,264,5,74,training,presence
41,717454.1756,3403710.585,67,412,268,-15,91,training,presence
42,777800.0118,3396819.651,80,445,273,-13,88,training,presence
43,1483346.569,3384862.82,121,439,265,7,77,training,presence
44,282273.0081,3363203.889,44,640,211,-22,77,training,presence
45,713325.7241,3358408.872,78,411,273,-6,87,testing,presence
46,812255.7486,3341111.079,100,479,276,-5,84,testing,presence
47,-48015.97143,3333481.979,24,594,251,20,75,training,presence
48,301675.3669,3312433.756,51,606,238,5,77,training,presence
49,-101326.8642,3242580.894,31,632,251,28,71,training,presence
50,1379207.891,3240146.959,171,608,275,7,81,testing,presence
51,1241129.232,3194919.527,183,826,254,-5,79,testing,presence
52,212615.4488,3167962.297,62,491,268,40,70,training,presence
53,252701.6241,3152844.967,69,518,257,30,72,testing,presence
54,-159469.7944,3151209.335,43,782,222,11,74,testing,presence
55,-122099.625,3144236.2,56,852,255,44,71,testing,presence
56,1564209.499,3142123.946,168,569,272,36,67,training,presence
57,1480899.241,3128607.013,167,631,254,6,79,training,presence
58,-1005766.337,3093929.505,24,748,189,-17,117,training,presence
59,27007.85106,3064441.657,72,545,268,57,66,training,presence
60,1087452.708,3047388.895,141,633,285,23,77,testing,presence
61,23884.17186,3039893.24,75,544,265,56,67,training,presence
62,460672.8159,3026036.042,116,612,245,0,81,testing,presence
63,780429.9438,3008600.572,176,599,286,14,78,training,presence
64,1302622.411,2988160.459,173,904,263,26,88,training,presence
65,-40973.61446,2943006.456,51,497,230,19,82,training,presence
66,1217211.594,2894578.212,166,881,261,31,89,testing,presence
67,667876.2288,2893949.345,186,602,273,17,75,training,presence
68,-396728.7156,2777943.7,23,579,208,16,119,training,presence
69,608464.6741,2763257.413,195,631,276,32,76,training,presence
70,318382.6432,2729238.439,103,598,245,25,82,testing,presence
71,391383.4618,2707991.146,125,631,255,30,84,training,presence
72,657947.6046,2675865.687,171,678,279,43,80,training,presence
73,1346185.317,2663145.359,86,457,285,104,62,training,presence
74,981376.5893,2655292.049,131,775,278,53,86,testing,presence
75,167291.4715,2634992.611,55,606,281,77,95,training,presence
76,166802.8393,2624037.916,54,612,281,78,94,training,presence
77,716197.4814,2622470.626,142,708,256,31,81,training,presence
78,-567013.5125,2607839.803,60,648,248,59,117,training,presence
79,-393770.4028,2534373.778,44,596,225,48,113,training,presence
80,-729270.2411,2532819.027,40,875,246,55,123,testing,presence
81,891614.9239,2481000.145,123,900,281,86,84,training,presence
82,-562931.4424,2440784.068,40,803,214,32,123,testing,presence
83,950538.2374,2430149.702,110,981,279,99,77,training,presence
84,-237402.077,2419712.041,45,685,241,80,107,training,presence
85,-579865.8219,2345951.522,35,797,215,38,126,training,presence
86,-389054.5237,2332435.114,61,927,212,45,116,training,presence
87,281223.2417,2304356.284,113,976,274,99,76,training,presence
88,556615.3932,2166965.406,79,621,288,135,63,testing,presence
89,583934.6631,2048353.729,114,748,282,145,71,testing,presence
90,443775.4648,2008355.966,46,577,286,145,79,training,presence
91,524253.9409,1977100.819,74,819,279,145,80,training,presence
92,467284.2323,1929273.969,42,766,273,147,74,training,presence
